id,d1age,d1race,d1daysonunit
100021,30,1 White,265
100171,60,2 Black,1154
100221,43,1 White,465
100261,33,2 Black,2223
100291,54,2 Black,493
100331,40,2 Black,41
100341,52,1 White,32
100381,54,2 Black,258
100481,42,2 Black,118
100521,49,3 Hispanic,4
100551,24,2 Black,61
100571,30,1 White,180
100611,49,1 White,1154
100631,43,1 White,111
100641,45,1 White,928
100771,25,2 Black,340
100841,43,1 White,2131
100861,61,2 Black,263
100971,44,1 White,88
101061,29,2 Black,305
101081,48,3 Hispanic,265
101161,49,1 White,417
101251,41,1 White,265
101341,36,3 Hispanic,11
101391,33,4 American Indian,430
101421,22,2 Black,263
101441,32,1 White,140
101491,35,1 White,647
101531,33,3 Hispanic,123
101591,32,2 Black,1579
101621,30,2 Black,200
101711,28,2 Black,61
101831,22,2 Black,340
101851,37,1 White,200
101861,35,2 Black,180
101871,47,2 Black,181
101931,62,2 Black,132
102051,40,3 Hispanic,6
102061,44,1 White,32
102071,50,2 Black,1503
102101,29,2 Black,283
102121,51,1 White,598
102171,50,1 White,132
102241,33,3 Hispanic,321
102271,34,1 White,263
102281,44,2 Black,781
102321,53,2 Black,1929
102441,24,3 Hispanic,404
102511,34,2 Black,54
102551,65,1 White,3791
102731,27,1 White,394
102771,49,1 White,354
102851,25,2 Black,305
103041,29,3 Hispanic,647
103061,48,1 White,2726
103311,39,1 White,256
103341,53,1 White,263
103351,23,1 White,11
103371,37,3 Hispanic,2168
103391,56,1 White,668
103511,50,2 Black,11
103561,27,1 White,313
103611,45,1 White,563
103621,47,2 Black,186
103711,37,2 Black,68
103771,27,3 Hispanic,68
103811,37,2 Black,305
103831,43,1 White,1231
103841,40,2 Black,6
103861,68,1 White,140
103891,46,1 White,2726
103901,41,1 White,481
103921,24,2 Black,238
103941,53,2 Black,650
103961,50,1 White,642
103971,26,1 White,32
104111,40,2 Black,265
104121,45,2 Black,186
104131,43,3 Hispanic,367
104191,37,2 Black,263
104321,38,2 Black,1959
104361,59,1 White,140
104381,32,3 Hispanic,6
104461,35,1 White,6
104471,28,1 White,263
104491,37,1 White,41
104541,33,2 Black,54
104561,30,2 Black,18
104591,47,2 Black,74
104611,30,1 White,487
104641,37,2 Black,6
104681,48,2 Black,516
104711,42,2 Black,263
104881,37,3 Hispanic,123
104891,30,1 White,759
104931,55,1 White,5169
104951,36,1 White,340
104961,31,2 Black,132
104971,31,2 Black,46
104981,29,2 Black,54
105141,26,2 Black,17
105181,55,1 White,873
105201,39,3 Hispanic,140
105311,30,2 Black,6
105321,52,2 Black,838
105401,29,2 Black,200
105421,50,1 White,1712
105441,69,1 White,1244
105471,37,3 Hispanic,181
105531,39,2 Black,438
105541,39,1 White,41
105611,42,1 White,68
105621,47,1 White,132
105681,38,2 Black,238
105721,54,2 Black,132
105781,41,1 White,40
105791,28,3 Hispanic,430
105821,21,2 Black,145
105911,33,2 Black,430
105971,47,1 White,542
105981,51,2 Black,689
106011,44,1 White,898
106081,51,2 Black,88
106151,35,1 White,934
106271,28,1 White,180
106441,30,2 Black,54
106471,54,1 White,465
106511,26,2 Black,528
106531,60,1 White,5029
106551,58,2 Black,95
106571,31,1 White,52
106581,32,2 Black,1130
106711,46,3 Hispanic,599
106721,37,3 Hispanic,1124
106731,45,2 Black,54
106801,23,2 Black,11
106891,39,3 Hispanic,265
106911,35,3 Hispanic,606
107011,40,3 Hispanic,186
107091,39,3 Hispanic,647
107161,52,2 Black,46
107221,32,2 Black,95
107271,57,2 Black,74
107301,24,3 Hispanic,140
107321,24,2 Black,11
107341,52,1 White,5
107361,61,1 White,934
107421,33,2 Black,1188
107431,51,2 Black,216
107451,47,3 Hispanic,132
107521,39,2 Black,563
107531,29,1 White,132
107561,30,2 Black,132
107571,51,1 White,686
107601,52,1 White,4814
107681,47,1 White,445
107761,28,2 Black,270
107791,69,2 Black,1091
107851,51,2 Black,132
107901,21,3 Hispanic,68
108071,49,2 Black,263
108081,55,2 Black,1454
108111,72,1 White,3877
108151,23,1 White,216
108231,25,1 White,40
108261,44,2 Black,650
108281,45,2 Black,383
108321,36,2 Black,140
108361,40,1 White,74
108491,24,2 Black,32
108521,23,1 White,410
108531,50,1 White,550
108591,53,1 White,88
108611,32,2 Black,140
108621,28,2 Black,11
108681,29,1 White,606
108691,46,1 White,69
108741,40,1 White,200
108761,32,1 White,41
108911,39,2 Black,74
108931,30,2 Black,326
108971,30,2 Black,978
109001,26,1 White,48
109031,25,2 Black,241
109051,44,2 Black,200
109061,57,2 Black,689
109261,42,1 White,1454
109301,30,2 Black,417
109311,43,1 White,54
109321,42,1 White,40
109491,33,1 White,592
109501,36,3 Hispanic,61
109541,26,2 Black,68
109561,24,2 Black,920
109571,26,2 Black,263
109591,33,1 White,508
109631,37,2 Black,264
109661,34,2 Black,298
109681,33,2 Black,298
109691,24,3 Hispanic,116
109781,24,2 Black,621
109801,37,3 Hispanic,563
109821,42,3 Hispanic,17
109891,47,2 Black,1406
110001,32,2 Black,95